ID,NOME,Tamanho,QTD,ESTOQUE,PREÇO DE COMPRA,% NA VENDA,VALOR FINAL,VALOR TOTAL CUSTOS,VALOR TOTAL,CREATED_AT
F7F8E2F1,Camiseta masculina poliente ALEFIT,,3,1,"R$ 25,00",45,"R$ 45,45","R$ 75,00","R$ 136,36",11/10/2022 09:39:53
0450D791,Macacão Melancia ALEFIT,,1,1,"R$ 51,00",50,"R$ 102,00","R$ 51,00","R$ 102,00",11/10/2022 09:57:21
A19FFE4D,Macaquito coração ALEFIT,,1,0,"R$ 42,00",55,"R$ 93,33","R$ 42,00","R$ 93,33",11/10/2022 10:02:17
DADF8DC7,Conj cris Alefit,,4,1,"R$ 42,00",55,"R$ 93,33","R$ 168,00","R$ 373,33",11/10/2022 10:08:25
77B74C75,Conj rasgado ALEFIT,,1,1,"R$ 55,00",50,"R$ 110,00","R$ 55,00","R$ 110,00",11/10/2022 10:21:34
003E7B73,ponchete garrafa ALEFIT,,4,0,"R$ 16,00",45,"R$ 29,09","R$ 64,00","R$ 116,36",11/10/2022 10:25:23
1D94E8F2,pochete taf ALEFIT,,2,0,"R$ 13,00",45,"R$ 23,64","R$ 26,00","R$ 47,27",11/10/2022 10:31:23
E5BD4F97,Conj lulia ALEFIT,,2,2,"R$ 42,00",55,"R$ 93,33","R$ 84,00","R$ 186,67",11/10/2022 10:36:35
7D2A0FB9,Regata Masculina lucas,,15,0,"R$ 10,00",45,"R$ 18,18","R$ 150,00","R$ 272,73",11/10/2022 10:39:29
A144B8AF,Camisa Feminina LUX GIRL,,19,0,"R$ 17,00",45,"R$ 30,91","R$ 323,00","R$ 587,27",11/10/2022 11:11:19
33792DC4,Macacão Irish,,6,1,"R$ 65,00",50,"R$ 130,00","R$ 390,00","R$ 780,00",11/10/2022 11:31:32
5CF28EAD,Macaquito IRISH,,7,2,"R$ 55,00",50,"R$ 110,00","R$ 385,00","R$ 770,00",11/10/2022 11:43:27
2626A2D4,Conj Ma'Luxuosa pequeno,,2,1,"R$ 20,00",60,"R$ 50,00","R$ 40,00","R$ 100,00",11/10/2022 12:17:47
1772C7EB,Conj MA'LUXUOSA,,2,0,"R$ 22,00",60,"R$ 55,00","R$ 44,00","R$ 110,00",11/10/2022 12:27:05
FC374486,Legging,,6,3,"R$ 30,00",55,"R$ 66,67","R$ 180,00","R$ 400,00",11/10/2022 12:34:09
DE6E4AE6,Short Marinnas,,4,0,"R$ 8,00",70,"R$ 26,67","R$ 32,00","R$ 106,67",11/10/2022 12:43:03
CC23CA30,Conj MARINNAS,,4,0,"R$ 15,00",45,"R$ 27,27","R$ 60,00","R$ 109,09",11/10/2022 12:48:30
833F1D87,Lenggin AUTARQUIA,,1,1,"R$ 32,00",55,"R$ 71,11","R$ 32,00","R$ 71,11",11/10/2022 12:57:15
CEF880F0,Short 3D,,1,1,"R$ 20,00",60,"R$ 50,00","R$ 20,00","R$ 50,00",11/10/2022 12:59:56
7DA40074,Top Extremo,,12,2,"R$ 8,00",70,"R$ 26,67","R$ 96,00","R$ 320,00",11/10/2022 13:03:09
BFE09019,Legging preta,,3,0,"R$ 30,00",55,"R$ 66,67","R$ 90,00","R$ 200,00",12/10/2022 09:16:45
B352BBA4,Short com bolso meio da coxa,,6,0,"R$ 12,00",65,"R$ 34,29","R$ 72,00","R$ 205,71",12/10/2022 10:05:21
C96C5397,Short boom e Fintnes,,6,1,"R$ 11,00",45,"R$ 20,00","R$ 66,00","R$ 120,00",12/10/2022 10:16:52
C00F1220,Camisa Masculina Basquete,,10,2,"R$ 10,00",65,"R$ 28,57","R$ 100,00","R$ 285,71",12/10/2022 10:48:03
5B2D41F5,bermuda caruaru masculina,,3,2,"R$ 12,00",70,"R$ 40,00","R$ 36,00","R$ 120,00",13/10/2022 21:10:05
EAB1C450,leggin antigo,,1,0,"R$ 15,00",57,"R$ 35,00","R$ 15,00","R$ 35,00",13/10/2022 21:17:19
2EE889CC,short 3d caruru,,4,0,"R$ 12,00",60,"R$ 30,00","R$ 48,00","R$ 120,00",14/10/2022 12:33:09
9D75BF35,camisa feminina blusao roxo,,1,0,"R$ 12,00",60,"R$ 30,00","R$ 12,00","R$ 30,00",14/10/2022 12:43:27
9BF8667C,Calça Masculina,,4,2,"R$ 25,00",59,"R$ 60,98","R$ 100,00","R$ 243,90",14/10/2022 12:48:32
F7E82FBD,camisa basquete masculina,,2,0,"R$ 10,00",80,"R$ 50,00","R$ 20,00","R$ 100,00",14/10/2022 13:16:10
53662257,camisa masculina,,2,0,"R$ 20,00",48,"R$ 38,46","R$ 40,00","R$ 76,92",14/10/2022 13:20:24
0F828AF4,regata masculina,,2,1,"R$ 15,00",50,"R$ 30,00","R$ 30,00","R$ 60,00",14/10/2022 13:26:32
AF72FB29,legginsg,,6,0,"R$ 15,00",50,"R$ 30,00","R$ 90,00","R$ 180,00",14/10/2022 13:30:03
7487B768,macacao,,2,0,"R$ 15,00",70,"R$ 50,00","R$ 30,00","R$ 100,00",14/10/2022 13:38:50
B4799F98,short saia,,1,1,"R$ 10,00",72,"R$ 35,71","R$ 10,00","R$ 35,71",14/10/2022 13:44:36
52442D0E,conj azul,,1,0,"R$ 20,00",60,"R$ 50,00","R$ 20,00","R$ 50,00",14/10/2022 13:47:10
724FD4A7,conj,,2,1,"R$ 45,00",63,"R$ 121,62","R$ 90,00","R$ 243,24",14/10/2022 13:49:39
43913C92,top,,3,1,"R$ 7,00",73,"R$ 25,93","R$ 21,00","R$ 77,78",14/10/2022 14:20:54
1B618C78,bermuda fina masculina,,2,0,"R$ 10,00",66,"R$ 29,41","R$ 20,00","R$ 58,82",20/10/2022 08:06:44
5CBD9B14,corda de pular,,2,0,"R$ 21,00",50,"R$ 42,00","R$ 42,00","R$ 84,00",31/10/2022 10:12:55
FA83052E,SORT FOLGADO,,7,0,"R$ 10,00",65,"R$ 28,57","R$ 70,00","R$ 200,00",21/11/2022 09:01:43
CD02AC9C,TOP,,1,0,"R$ 10,00",50,"R$ 20,00","R$ 10,00","R$ 20,00",21/11/2022 09:25:28
51BCDF5A,SHORT CURTO ROSA E ROXO,,3,0,"R$ 13,00",45,"R$ 23,64","R$ 39,00","R$ 70,91",21/11/2022 09:27:11
88E658AF,LEG BOCA E CORACAO,,2,0,"R$ 27,00",50,"R$ 54,00","R$ 54,00","R$ 108,00",21/11/2022 09:30:58
159BFFC0,CAMISA MASCULINA MAIOR,,9,1,"R$ 15,00",50,"R$ 30,00","R$ 135,00","R$ 270,00",21/11/2022 09:42:07
6C096042,CAMISA MASCULINA TAMANHO UNICO,,9,3,"R$ 11,00",55,"R$ 24,44","R$ 99,00","R$ 220,00",21/11/2022 09:59:06
9544F784,CALCA MASCULINA,,4,1,"R$ 30,00",50,"R$ 60,00","R$ 120,00","R$ 240,00",21/11/2022 10:17:20
57A19C7B,BEMUDA TOP,,2,0,"R$ 35,00",35,"R$ 53,85","R$ 70,00","R$ 107,69",21/11/2022 10:32:24
38F27D29,BERMUDA MASCULINA ZIPER,,4,1,"R$ 17,00",50,"R$ 34,00","R$ 68,00","R$ 136,00",21/11/2022 10:42:25
898AB8DE,CAMISA BASQUETE,,21,5,"R$ 10,00",65,"R$ 28,57","R$ 210,00","R$ 600,00",21/11/2022 10:46:57
5837762F,CONJ MALHA FINA,,4,-1,"R$ 12,00",50,"R$ 24,00","R$ 48,00","R$ 96,00",21/11/2022 11:06:27
0BEC5DB6,SHORT FINO,,5,0,"R$ 8,00",50,"R$ 16,00","R$ 40,00","R$ 80,00",21/11/2022 11:11:28
5DACAA4F,SHORT COM BOLSO,,4,0,"R$ 15,00",45,"R$ 27,27","R$ 60,00","R$ 109,09",21/11/2022 11:19:17
